JCT10055	UV_AfeRegIgnMask7			3	4	8			N	R		F	N	2		10		
JCT10056	UV_AfeReg0			3	4	8			N	R		F	N	2		10		
JCT10057	UV_AfeReg1_Powerdown con			3	4	8			N	R		F	N	2		10		
JCT10058	UV_AfeReg2_PGA power tri			3	4	8			N	R		F	N	2		10		
JCT10059	UV_AfeReg3_ADC power tri			3	4	8			N	R		F	N	2		10		
JCT10060	UV_AfeReg4_VCLP control			3	4	8			N	R		F	N	2		10		
JCT10061	UV_AfeReg5_LVDS output m			3	4	8			N	R		F	N	2		10		
JCT10062	UV_AfeReg6_Sample & hold			3	4	8			N	R		F	N	2		10		
JCT10063	UV_AfeReg7_Status			3	4	8			N	R		F	N	2		10		
JCT10064	UV_AfeReg8_Reserved			3	4	8			N	R		F	N	2		10		
JCT10065	UV_AfeReg9_Clock monitor			3	4	8			N	R		F	N	2		10		
JCT10066	UV_AfeReg10_Reserved			3	4	8			N	R		F	N	2		10		
JCT10067	UV_AfeReg11_Reserved			3	4	8			N	R		F	N	2		10		
JCT10068	UV_AfeReg12_Reserved			3	4	8			N	R		F	N	2		10		
JCT10069	UV_AfeReg13_Reserved			3	4	8			N	R		F	N	2		10		
JCT10070	UV_AfeReg14_Reserved			3	4	8			N	R		F	N	2		10		
JCT10071	UV_AfeReg15_Reserved			3	4	8			N	R		F	N	2		10		
JCT10072	UV_AfeReg16_CDAC1			3	4	8			N	R		F	N	2		10		
JCT10073	UV_AfeReg17_CDAC1			3	4	8			N	R		F	N	2		10		
JCT10074	UV_AfeReg18_FDAC1			3	4	8			N	R		F	N	2		10		
JCT10075	UV_AfeReg19_FDAC1			3	4	8			N	R		F	N	2		10		
JCT10076	UV_AfeReg20_Reserved			3	4	8			N	R		F	N	2		10		
JCT10077	UV_AfeReg21_PGA1			3	4	8			N	R		F	N	2		10		
JCT10078	UV_AfeReg22_Reserved			3	4	8			N	R		F	N	2		10		
JCT10079	UV_AfeReg23_Reserved			3	4	8			N	R		F	N	2		10		
JCT10080	UV_AfeReg24_CDAC2			3	4	8			N	R		F	N	2		10		
JCT10081	UV_AfeReg25_CDAC2			3	4	8			N	R		F	N	2		10		
JCT10082	UV_AfeReg26_FDAC2			3	4	8			N	R		F	N	2		10		
JCT10083	UV_AfeReg27_FDAC2			3	4	8			N	R		F	N	2		10		
JCT10084	UV_AfeReg28_PGA2			3	4	8			N	R		F	N	2		10		
JCT10085	UV_AfeReg29_Reserved			3	4	8			N	R		F	N	2		10		
JCT10086	UV_AfeReg30_Reserved			3	4	8			N	R		F	N	2		10		
JCT10087	UV_AfeReg31_Reserved			3	4	8			N	R		F	N	2		10		
JCT10088	UV_AfeReg32_Clamp start			3	4	8			N	R		F	N	2		10		
JCT10089	UV_AfeReg33_Clamp end			3	4	8			N	R		F	N	2		10		
JCT10090	UV_AfeReg34_Sample start			3	4	8			N	R		F	N	2		10		
JCT10091	UV_AfeReg35_Sample end			3	4	8			N	R		F	N	2		10		
JCT10092	UV_AfeReg36_Reserved			3	4	8			N	R		F	N	2		10		
JCT10093	UV_AfeReg37_INCLK range			3	4	8			N	R		F	N	2		10		
JCT10094	UV_AfeReg38_Reserved			3	4	8			N	R		F	N	2		10		
JCT10095	UV_AfeReg39_Reserved			3	4	8			N	R		F	N	2		10		
JCT10096	UV_AfeReg40_DLL configur			3	4	8			N	R		F	N	2		10		
JCT10097	UV_AfeReg41_Reserved			3	4	8			N	R		F	N	2		10		
JCT10098	UV_AfeReg42_Reserved			3	4	8			N	R		F	N	2		10		
JCT10099	UV_AfeReg43_Reserved			3	4	8			N	R		F	N	2		10		
JCT10100	UV_AfeReg44_Reserved			3	4	8			N	R		F	N	2		10		
JCT10101	UV_AfeReg45_Reserved			3	4	8			N	R		F	N	2		10		
JCT10102	UV_AfeReg46_Reserved			3	4	8			N	R		F	N	2		10		
JCT10103	UV_AfeReg47_Reserved			3	4	8			N	R		F	N	2		10		
JCT10104	UV_AfeReg48_Test pattern			3	4	8			N	R		F	N	2		10		
JCT10105	UV_AfeReg49_Test pattern			3	4	8			N	R		F	N	2		10		
JCT10106	UV_AfeReg50_Test pattern			3	4	8			N	R		F	N	2		10		
JCT10107	UV_AfeReg51_Test pattern			3	4	8			N	R		F	N	2		10		
JCT10108	UV_AfeReg52_Test pattern			3	4	8			N	R		F	N	2		10		
